flow,speed,time
30.0,49.0,2021-01-20 12:00:00
42.0,54.0,2021-01-20 12:15:00
38.0,51.0,2021-01-20 12:30:00
32.0,48.0,2021-01-20 12:45:00
32.0,47.0,2021-01-20 13:00:00
48.0,55.0,2021-01-20 13:15:00
37.0,56.0,2021-01-20 13:30:00
35.0,53.0,2021-01-20 13:45:00
36.0,57.0,2021-01-20 14:00:00
40.0,55.0,2021-01-20 14:15:00
39.0,53.0,2021-01-20 14:30:00
47.0,55.0,2021-01-20 14:45:00
50.0,52.0,2021-01-20 15:00:00
42.0,47.0,2021-01-20 15:15:00
32.0,39.0,2021-01-20 15:30:00
27.0,26.0,2021-01-20 15:45:00
24.0,15.0,2021-01-20 16:00:00
60.0,69.0,2021-01-20 16:15:00
28.0,23.0,2021-01-20 16:30:00
39.0,55.0,2021-01-20 16:45:00
27.0,19.0,2021-01-20 17:00:00
22.0,11.0,2021-01-20 17:15:00
38.0,51.0,2021-01-20 17:30:00
42.0,47.0,2021-01-20 17:45:00
38.0,45.0,2021-01-20 18:00:00
39.0,48.0,2021-01-20 18:15:00
36.0,40.0,2021-01-20 18:30:00
35.0,38.0,2021-01-20 18:45:00
20.0,29.0,2021-01-20 19:00:00
30.0,55.0,2021-01-20 19:15:00
21.0,40.0,2021-01-20 19:30:00
27.0,40.0,2021-01-20 19:45:00
30.0,54.0,2021-01-20 20:00:00
26.0,52.0,2021-01-20 20:15:00
19.0,51.0,2021-01-20 20:30:00
21.0,48.0,2021-01-20 20:45:00
28.0,66.0,2021-01-20 21:00:00
26.0,58.0,2021-01-20 21:15:00
13.0,56.0,2021-01-20 21:30:00
17.0,66.0,2021-01-20 21:45:00
12.0,38.0,2021-01-20 22:00:00
12.0,70.0,2021-01-20 22:15:00
14.0,79.0,2021-01-20 22:30:00
9.0,79.0,2021-01-20 22:45:00
11.0,100.0,2021-01-20 23:00:00
5.0,100.0,2021-01-20 23:15:00
3.0,100.0,2021-01-20 23:30:00
5.0,100.0,2021-01-20 23:45:00
4.0,100.0,2021-01-21 00:00:00
7.0,100.0,2021-01-21 00:15:00
9.0,100.0,2021-01-21 00:30:00
2.0,100.0,2021-01-21 00:45:00
9.0,100.0,2021-01-21 01:00:00
2.0,100.0,2021-01-21 01:15:00
10.0,81.0,2021-01-21 01:30:00
9.0,78.0,2021-01-21 01:45:00
8.0,68.0,2021-01-21 02:00:00
6.0,35.0,2021-01-21 02:15:00
5.0,61.0,2021-01-21 02:30:00
5.0,3.0,2021-01-21 02:45:00
2.0,3.0,2021-01-21 03:00:00
7.0,27.0,2021-01-21 03:15:00
8.0,41.0,2021-01-21 03:30:00
10.0,28.0,2021-01-21 03:45:00
7.0,40.0,2021-01-21 04:00:00
8.0,40.0,2021-01-21 04:15:00
8.0,28.0,2021-01-21 04:30:00
8.0,28.0,2021-01-21 04:45:00
5.0,27.0,2021-01-21 05:00:00
11.0,27.0,2021-01-21 05:15:00
10.0,41.0,2021-01-21 05:30:00
4.0,27.0,2021-01-21 05:45:00
6.0,51.0,2021-01-21 06:00:00
9.0,27.0,2021-01-21 06:15:00
9.0,58.0,2021-01-21 06:30:00
11.0,67.0,2021-01-21 06:45:00
13.0,67.0,2021-01-21 07:00:00
6.0,51.0,2021-01-21 07:15:00
9.0,51.0,2021-01-21 07:30:00
9.0,35.0,2021-01-21 07:45:00
6.0,22.0,2021-01-21 08:00:00
10.0,44.0,2021-01-21 08:15:00
27.0,53.0,2021-01-21 08:30:00
42.0,57.0,2021-01-21 08:45:00
39.0,58.0,2021-01-21 09:00:00
46.0,62.0,2021-01-21 09:15:00
39.0,52.0,2021-01-21 09:30:00
41.0,49.0,2021-01-21 09:45:00
37.0,44.0,2021-01-21 10:00:00
40.0,51.0,2021-01-21 10:15:00
38.0,45.0,2021-01-21 10:30:00
41.0,53.0,2021-01-21 10:45:00
63.0,69.0,2021-01-21 11:00:00
40.0,56.0,2021-01-21 11:15:00
43.0,61.0,2021-01-21 11:30:00
54.0,63.0,2021-01-21 11:45:00
48.0,54.0,2021-01-21 12:00:00
53.0,55.0,2021-01-21 12:15:00
48.0,55.0,2021-01-21 12:30:00
39.0,46.0,2021-01-21 12:45:00
47.0,57.0,2021-01-21 13:00:00
41.0,45.0,2021-01-21 13:15:00
42.0,49.0,2021-01-21 13:30:00
41.0,45.0,2021-01-21 13:45:00
47.0,53.0,2021-01-21 14:00:00
37.0,42.0,2021-01-21 14:15:00
57.0,54.0,2021-01-21 14:30:00
66.0,59.0,2021-01-21 14:45:00
42.0,50.0,2021-01-21 15:00:00
39.0,43.0,2021-01-21 15:15:00
35.0,30.0,2021-01-21 15:30:00
42.0,45.0,2021-01-21 15:45:00
51.0,56.0,2021-01-21 16:00:00
47.0,58.0,2021-01-21 16:15:00
49.0,55.0,2021-01-21 16:30:00
43.0,50.0,2021-01-21 16:45:00
41.0,46.0,2021-01-21 17:00:00
37.0,49.0,2021-01-21 17:15:00
48.0,59.0,2021-01-21 17:30:00
43.0,50.0,2021-01-21 17:45:00
25.0,41.0,2021-01-21 18:00:00
26.0,50.0,2021-01-21 18:15:00
34.0,61.0,2021-01-21 18:30:00
30.0,46.0,2021-01-21 18:45:00
28.0,43.0,2021-01-21 19:00:00
30.0,40.0,2021-01-21 19:15:00
26.0,58.0,2021-01-21 19:30:00
30.0,35.0,2021-01-21 19:45:00
24.0,44.0,2021-01-21 20:00:00
28.0,62.0,2021-01-21 20:15:00
37.0,88.0,2021-01-21 20:30:00
19.0,73.0,2021-01-21 20:45:00
18.0,71.0,2021-01-21 21:00:00
13.0,67.0,2021-01-21 21:15:00
18.0,73.0,2021-01-21 21:30:00
16.0,76.0,2021-01-21 21:45:00
19.0,76.0,2021-01-21 22:00:00
13.0,70.0,2021-01-21 22:15:00
16.0,73.0,2021-01-21 22:30:00
14.0,67.0,2021-01-21 22:45:00
9.0,56.0,2021-01-21 23:00:00
17.0,86.0,2021-01-21 23:15:00
5.0,76.0,2021-01-21 23:30:00
8.0,100.0,2021-01-21 23:45:00
10.0,100.0,2021-01-22 00:00:00
12.0,100.0,2021-01-22 00:15:00
12.0,100.0,2021-01-22 00:30:00
9.0,100.0,2021-01-22 00:45:00
14.0,88.0,2021-01-22 01:00:00
10.0,86.0,2021-01-22 01:15:00
6.0,2.0,2021-01-22 01:30:00
9.0,80.0,2021-01-22 01:45:00
12.0,75.0,2021-01-22 02:00:00
9.0,80.0,2021-01-22 02:15:00
6.0,75.0,2021-01-22 02:30:00
9.0,80.0,2021-01-22 02:45:00
7.0,75.0,2021-01-22 03:00:00
7.0,67.0,2021-01-22 03:15:00
5.0,67.0,2021-01-22 03:30:00
12.0,84.0,2021-01-22 03:45:00
8.0,67.0,2021-01-22 04:00:00
9.0,84.0,2021-01-22 04:15:00
15.0,84.0,2021-01-22 04:30:00
11.0,89.0,2021-01-22 04:45:00
8.0,75.0,2021-01-22 05:00:00
6.0,75.0,2021-01-22 05:15:00
4.0,51.0,2021-01-22 05:30:00
11.0,80.0,2021-01-22 05:45:00
15.0,88.0,2021-01-22 06:00:00
9.0,67.0,2021-01-22 06:15:00
16.0,72.0,2021-01-22 06:30:00
16.0,71.0,2021-01-22 06:45:00
17.0,62.0,2021-01-22 07:00:00
19.0,68.0,2021-01-22 07:15:00
21.0,71.0,2021-01-22 07:30:00
16.0,64.0,2021-01-22 07:45:00
10.0,52.0,2021-01-22 08:00:00
18.0,71.0,2021-01-22 08:15:00
42.0,68.0,2021-01-22 08:30:00
27.0,61.0,2021-01-22 08:45:00
21.0,49.0,2021-01-22 09:00:00
24.0,57.0,2021-01-22 09:15:00
27.0,57.0,2021-01-22 09:30:00
22.0,46.0,2021-01-22 09:45:00
19.0,52.0,2021-01-22 10:00:00
20.0,49.0,2021-01-22 10:15:00
27.0,49.0,2021-01-22 10:30:00
27.0,53.0,2021-01-22 10:45:00
25.0,50.0,2021-01-22 11:00:00
25.0,47.0,2021-01-22 11:15:00
24.0,55.0,2021-01-22 11:30:00
30.0,56.0,2021-01-22 11:45:00
30.0,59.0,2021-01-22 12:00:00
36.0,71.0,2021-01-22 12:15:00
23.0,49.0,2021-01-22 12:30:00
22.0,51.0,2021-01-22 12:45:00
28.0,58.0,2021-01-22 13:00:00
26.0,66.0,2021-01-22 13:15:00
29.0,66.0,2021-01-22 13:30:00
21.0,48.0,2021-01-22 13:45:00
23.0,57.0,2021-01-22 14:00:00
22.0,45.0,2021-01-22 14:15:00
34.0,61.0,2021-01-22 14:30:00
40.0,52.0,2021-01-22 14:45:00
36.0,52.0,2021-01-22 15:00:00
38.0,44.0,2021-01-22 15:15:00
31.0,40.0,2021-01-22 15:30:00
32.0,45.0,2021-01-22 15:45:00
34.0,49.0,2021-01-22 16:00:00
32.0,55.0,2021-01-22 16:15:00
48.0,53.0,2021-01-22 16:30:00
35.0,47.0,2021-01-22 16:45:00
28.0,34.0,2021-01-22 17:00:00
29.0,31.0,2021-01-22 17:15:00
28.0,37.0,2021-01-22 17:30:00
45.0,47.0,2021-01-22 17:45:00
31.0,37.0,2021-01-22 18:00:00
32.0,45.0,2021-01-22 18:15:00
39.0,58.0,2021-01-22 18:30:00
31.0,58.0,2021-01-22 18:45:00
34.0,68.0,2021-01-22 19:00:00
34.0,53.0,2021-01-22 19:15:00
30.0,67.0,2021-01-22 19:30:00
26.0,63.0,2021-01-22 19:45:00
25.0,76.0,2021-01-22 20:00:00
19.0,56.0,2021-01-22 20:15:00
24.0,74.0,2021-01-22 20:30:00
22.0,67.0,2021-01-22 20:45:00
19.0,71.0,2021-01-22 21:00:00
22.0,71.0,2021-01-22 21:15:00
15.0,72.0,2021-01-22 21:30:00
18.0,69.0,2021-01-22 21:45:00
17.0,74.0,2021-01-22 22:00:00
11.0,54.0,2021-01-22 22:15:00
11.0,39.0,2021-01-22 22:30:00
14.0,63.0,2021-01-22 22:45:00
20.0,80.0,2021-01-22 23:00:00
9.0,100.0,2021-01-22 23:15:00
20.0,100.0,2021-01-22 23:30:00
12.0,100.0,2021-01-22 23:45:00
13.0,100.0,2021-01-23 00:00:00
11.0,100.0,2021-01-23 00:15:00
10.0,100.0,2021-01-23 00:30:00
17.0,76.0,2021-01-23 00:45:00
8.0,67.0,2021-01-23 01:00:00
12.0,89.0,2021-01-23 01:15:00
7.0,67.0,2021-01-23 01:30:00
3.0,2.0,2021-01-23 01:45:00
7.0,80.0,2021-01-23 02:00:00
4.0,2.0,2021-01-23 02:15:00
5.0,67.0,2021-01-23 02:30:00
5.0,76.0,2021-01-23 02:45:00
10.0,80.0,2021-01-23 03:00:00
12.0,52.0,2021-01-23 03:15:00
10.0,62.0,2021-01-23 03:30:00
8.0,52.0,2021-01-23 03:45:00
6.0,62.0,2021-01-23 04:00:00
10.0,52.0,2021-01-23 04:15:00
7.0,62.0,2021-01-23 04:30:00
12.0,79.0,2021-01-23 04:45:00
7.0,62.0,2021-01-23 05:00:00
11.0,52.0,2021-01-23 05:15:00
5.0,42.0,2021-01-23 05:30:00
10.0,52.0,2021-01-23 05:45:00
6.0,4.0,2021-01-23 06:00:00
11.0,59.0,2021-01-23 06:15:00
16.0,71.0,2021-01-23 06:30:00
6.0,28.0,2021-01-23 06:45:00
9.0,42.0,2021-01-23 07:00:00
13.0,47.0,2021-01-23 07:15:00
18.0,52.0,2021-01-23 07:30:00
14.0,40.0,2021-01-23 07:45:00
14.0,63.0,2021-01-23 08:00:00
23.0,66.0,2021-01-23 08:15:00
25.0,66.0,2021-01-23 08:30:00
19.0,66.0,2021-01-23 08:45:00
17.0,49.0,2021-01-23 09:00:00
27.0,68.0,2021-01-23 09:15:00
19.0,62.0,2021-01-23 09:30:00
22.0,65.0,2021-01-23 09:45:00
26.0,60.0,2021-01-23 10:00:00
21.0,51.0,2021-01-23 10:15:00
25.0,58.0,2021-01-23 10:30:00
29.0,64.0,2021-01-23 10:45:00
33.0,67.0,2021-01-23 11:00:00
36.0,70.0,2021-01-23 11:15:00
39.0,62.0,2021-01-23 11:30:00
33.0,61.0,2021-01-23 11:45:00
36.0,64.0,2021-01-23 12:00:00
31.0,60.0,2021-01-23 12:15:00
26.0,57.0,2021-01-23 12:30:00
34.0,60.0,2021-01-23 12:45:00
51.0,75.0,2021-01-23 13:00:00
47.0,65.0,2021-01-23 13:15:00
38.0,66.0,2021-01-23 13:30:00
35.0,54.0,2021-01-23 13:45:00
40.0,57.0,2021-01-23 14:00:00
36.0,59.0,2021-01-23 14:15:00
37.0,62.0,2021-01-23 14:30:00
31.0,50.0,2021-01-23 14:45:00
37.0,60.0,2021-01-23 15:00:00
34.0,52.0,2021-01-23 15:15:00
26.0,44.0,2021-01-23 15:30:00
36.0,49.0,2021-01-23 15:45:00
35.0,60.0,2021-01-23 16:00:00
29.0,45.0,2021-01-23 16:15:00
39.0,55.0,2021-01-23 16:30:00
35.0,62.0,2021-01-23 16:45:00
40.0,59.0,2021-01-23 17:00:00
26.0,61.0,2021-01-23 17:15:00
40.0,76.0,2021-01-23 17:30:00
20.0,64.0,2021-01-23 17:45:00
29.0,74.0,2021-01-23 18:00:00
22.0,57.0,2021-01-23 18:15:00
23.0,63.0,2021-01-23 18:30:00
24.0,57.0,2021-01-23 18:45:00
20.0,69.0,2021-01-23 19:00:00
24.0,72.0,2021-01-23 19:15:00
17.0,54.0,2021-01-23 19:30:00
20.0,63.0,2021-01-23 19:45:00
20.0,72.0,2021-01-23 20:00:00
18.0,73.0,2021-01-23 20:15:00
20.0,72.0,2021-01-23 20:30:00
14.0,60.0,2021-01-23 20:45:00
16.0,69.0,2021-01-23 21:00:00
14.0,11.0,2021-01-23 21:15:00
9.0,41.0,2021-01-23 21:30:00
14.0,70.0,2021-01-23 21:45:00
20.0,88.0,2021-01-23 22:00:00
7.0,58.0,2021-01-23 22:15:00
7.0,79.0,2021-01-23 22:30:00
10.0,86.0,2021-01-23 22:45:00
9.0,86.0,2021-01-23 23:00:00
14.0,97.0,2021-01-23 23:15:00
11.0,96.0,2021-01-23 23:30:00
9.0,93.0,2021-01-23 23:45:00
7.0,100.0,2021-01-24 00:00:00
